BMPs,Cost,P_LB,N_LB,P_UB,N_UB
BMP26_1,11932800.0,7.75,10.4,7.75,10.4
BMP27_1,328152000.0,27.23,25.82,27.23,25.82
BMP28_1,161092800.0,75.51,30.55,75.51,30.55
BMP29_1,149160000.0,77.91,37.34,77.91,37.34
BMP30_1,89496000.0,59.04,12.2,59.04,12.2
BMP31_1,149160000.0,30.31,29.99,30.31,29.99
BMP32_1,149160000.0,58.71,12.11,58.71,12.11
BMP33_1,29832000.0,10.1,9.99,10.1,9.99
BMP34_1,208824000.0,63.95,20.98,63.95,20.98
BMP26_2,11197296.0,6.738069589610893,9.042054675090746,6.738069589610893,9.042054675090746
BMP27_2,307925640.0,23.674533538723175,22.448639587581063,23.674533538723175,22.448639587581063
BMP28_2,151163496.0,65.65053351116369,26.561035608079067,65.65053351116369,26.561035608079067
BMP29_2,139966200.0,67.7371615131077,32.464453996912354,67.7371615131077,32.464453996912354
BMP30_2,83979720.0,51.33104884782285,10.607025676548758,51.33104884782285,10.607025676548758
BMP31_2,139966200.0,26.352372807884663,26.074155740958794,26.352372807884663,26.074155740958794
BMP32_2,139966200.0,51.044137497555546,10.528777126475859,51.044137497555546,10.528777126475859
BMP33_2,27993240.0,8.781226174847744,8.685589058091976,8.781226174847744,8.685589058091976
BMP34_2,195952680.0,55.59994196846666,18.240606450327295,55.59994196846666,18.240606450327295
BMP26_3,9652896.0,4.766549130174136,6.39640141339497,4.766549130174136,6.39640141339497
BMP27_3,265454640.0,16.74750100834087,15.880296585947896,16.74750100834087,15.880296585947896
BMP28_3,130314096.0,46.441564492832136,18.789429151847724,46.441564492832136,18.789429151847724
BMP29_3,120661200.0,47.917657126692504,22.96554122847771,47.917657126692504,22.96554122847771
BMP30_3,72396720.0,36.31187879296529,7.503470888790252,36.31187879296529,7.503470888790252
BMP31_3,120661200.0,18.641819888461683,18.4450075372803,18.641819888461683,18.4450075372803
BMP32_3,120661200.0,36.10891605580949,7.448117415020488,36.10891605580949,7.448117415020488
BMP33_3,24132240.0,6.211889834162422,6.144235588443822,6.211889834162422,6.144235588443822
BMP34_3,168925680.0,39.331718306404646,12.903509774329468,39.331718306404646,12.903509774329468
BMP26_4,3829584.0,3.1461520101732634,4.221933020103476,3.1461520101732634,4.221933020103476
BMP27_4,105313560.0,11.054157320905544,10.481760632603052,11.054157320905544,10.481760632603052
BMP28_4,51699384.0,30.65366945653976,12.401928246553961,30.65366945653976,12.401928246553961
BMP29_4,47869800.0,31.62796169194825,15.158363362563827,31.62796169194825,15.158363362563827
BMP30_4,28721880.0,23.967588991048963,4.952652196659846,23.967588991048963,4.952652196659846
BMP31_4,47869800.0,12.304499023013111,12.174593391625312,12.304499023013111,12.174593391625312
BMP32_4,47869800.0,23.833623808680297,4.9161162378320284,23.833623808680297,4.9161162378320284
BMP33_4,9573960.0,4.100146490677414,4.055491429887859,4.100146490677414,4.055491429887859
BMP34_4,67017720.0,25.96082852265551,8.51693795786259,25.96082852265551,8.51693795786259
BMP26_5,5029200.0,5.711062610901659,7.6638775681777105,5.711062610901659,7.6638775681777105
BMP27_5,138303000.0,20.066094825142216,19.02704988561043,20.066094825142216,19.02704988561043
BMP28_5,67894200.0,55.64417261279797,22.512640356522024,55.64417261279797,22.512640356522024
BMP29_5,62865000.0,57.4127597439159,27.516268114976512,57.4127597439159,27.516268114976512
BMP30_5,37719000.0,43.50724342550115,8.99031791651616,43.50724342550115,8.99031791651616
BMP31_5,62865000.0,22.33578164341023,22.09997002592784,22.33578164341023,22.09997002592784
BMP32_5,62865000.0,43.26406269497244,8.923995899099237,43.26406269497244,8.923995899099237
BMP33_5,12573000.0,7.442804176787968,7.3617439332783965,7.442804176787968,7.3617439332783965
BMP34_5,88011000.0,47.12547793124659,15.460399171189266,47.12547793124659,15.460399171189266
BMP26_6,12908016.0,5.971312542380078,8.01311618590359,5.971312542380078,8.01311618590359
BMP27_6,354970440.0,20.98049555213026,19.894101915387562,20.98049555213026,19.894101915387562
BMP28_6,174258216.0,58.17984646130577,23.538528796091793,58.17984646130577,23.538528796091793
BMP29_6,161350200.0,60.029027119591206,28.770169075157696,60.029027119591206,28.770169075157696
BMP30_6,96810120.0,45.48984419382191,9.40000167961767,45.48984419382191,9.40000167961767
BMP31_6,161350200.0,23.353610730263245,23.10705330915852,23.353610730263245,23.10705330915852
BMP32_6,161350200.0,45.235581853307664,9.330657404931967,45.235581853307664,9.330657404931967
BMP33_6,32270040.0,7.781968603617908,7.697214490113159,7.781968603617908,7.697214490113159
BMP34_6,225890280.0,49.27295962389755,16.164920921178584,49.27295962389755,16.164920921178584
BMP26_7,5765232.0,7.252086175500485,9.731831770994198,7.252086175500485,9.731831770994198
BMP27_7,158543880.0,25.48055568501654,24.161143877602903,25.48055568501654,24.161143877602903
BMP28_7,77830632.0,70.65871317574731,28.587255827295458,70.65871317574731,28.587255827295458
BMP29_7,72065400.0,72.90452050751519,34.941019070088785,72.90452050751519,34.941019070088785
BMP30_7,43239240.0,55.24686036149014,11.416187269820117,55.24686036149014,11.416187269820117
BMP31_7,72065400.0,28.362675094118668,28.063234116549616,28.362675094118668,28.063234116549616
BMP32_7,72065400.0,54.938061853372055,11.331969494878821,54.938061853372055,11.331969494878821
BMP33_7,14413080.0,9.451105854523211,9.34817301848385,9.451105854523211,9.34817301848385
BMP34_7,100891560.0,59.84140786106529,19.632099091870987,59.84140786106529,19.632099091870987
BMP26_8,4889808.0,7.47123585325022,10.025916499845456,7.47123585325022,10.025916499845456
BMP27_8,134469720.0,26.2505486818069,24.8912657717317,26.2505486818069,24.8912657717317
BMP28_8,66012408.0,72.79393797147408,29.451129718296027,72.79393797147408,29.451129718296027
BMP29_8,61122600.0,75.10761100989994,35.9968963561759,75.10761100989994,35.9968963561759
BMP30_8,36673560.0,56.91635674527651,11.761171278664861,56.91635674527651,11.761171278664861
BMP31_8,61122600.0,29.219762414453438,28.911272675996656,29.219762414453438,28.911272675996656
BMP32_8,61122600.0,56.59822670249296,11.674408539723892,56.59822670249296,11.674408539723892
BMP33_8,12224520.0,9.736707370042222,9.630664022447704,9.736707370042222,9.630664022447704
BMP34_8,85571640.0,61.64974616972278,20.225358477572854,61.64974616972278,20.225358477572854
BMP26_9,15598176.0,4.421154045896975,5.932903493848843,4.421154045896975,5.932903493848843
BMP27_9,428949840.0,15.533938667067693,14.72957386645934,15.533938667067693,14.72957386645934
BMP28_9,210575376.0,43.07630219428136,17.427904013180978,43.07630219428136,17.427904013180978
BMP29_9,194977200.0,44.445433769784934,21.30140542887652,44.445433769784934,21.30140542887652
BMP30_9,116986320.0,33.680636757388044,6.959752175476527,33.680636757388044,6.959752175476527
BMP31_9,194977200.0,17.290990855630618,17.108439978896808,17.290990855630618,17.108439978896808
BMP32_9,194977200.0,33.492381165756306,6.908409741395142,33.492381165756306,6.908409741395142
BMP33_9,38995440.0,5.761762046910896,5.699010183033648,5.761762046910896,5.699010183033648
BMP34_9,272968080.0,36.48165177227246,11.968491855860455,36.48165177227246,11.968491855860455
BMP26_10,12198912.0,7.044156572559164,9.45280365866004,7.044156572559164,9.45280365866004
BMP27_10,335470080.0,24.74998496397239,23.468402929480984,24.74998496397239,23.468402929480984
BMP28_10,164685312.0,68.63280810244419,27.767610747313867,68.63280810244419,27.767610747313867
BMP29_10,152486400.0,70.81422433136574,33.939200828304415,70.81422433136574,33.939200828304415
BMP30_10,91491840.0,53.662839231470066,11.0888658303512,53.662839231470066,11.0888658303512
BMP31_10,152486400.0,27.54946912442171,27.25861362723217,27.54946912442171,27.25861362723217
BMP32_10,152486400.0,53.36289449999336,11.00706272176664,53.36289449999336,11.00706272176664
BMP33_10,30497280.0,9.180126630044846,9.08014505288594,9.180126630044846,9.08014505288594
BMP34_10,213480960.0,58.12565326647207,19.069213534489194,58.12565326647207,19.069213534489194
BMP26_11,2154240.0,2.7100524465348563,3.6367155411564527,2.7100524465348563,3.6367155411564527
BMP27_11,59241600.0,9.521900402470212,9.028845699294193,9.521900402470212,9.028845699294193
BMP28_11,29082240.0,26.404652933915745,10.68285190214708,26.404652933915745,10.68285190214708
BMP29_11,26928000.0,27.243894981874924,13.057207529498264,27.243894981874924,13.057207529498264
BMP30_11,16156800.0,20.64535437979586,4.266147077125838,20.64535437979586,4.266147077125838
BMP31_11,26928000.0,10.59892769735116,10.48702875762327,10.59892769735116,10.48702875762327
BMP32_11,26928000.0,20.529958598201475,4.234675500327369,20.529958598201475,4.234675500327369
BMP33_11,5385600.0,3.5318102851615545,3.4933450246300923,3.5318102851615545,3.4933450246300923
BMP34_11,37699200.0,22.362303736245686,7.336374235909844,22.362303736245686,7.336374235909844
BMP26_12,3781008.0,2.9894832598266046,4.011693664799573,2.9894832598266046,4.011693664799573
BMP27_12,103977720.0,10.503694085816573,9.959801002415862,10.503694085816573,9.959801002415862
BMP28_12,51043608.0,29.127210445097667,11.784350140348744,29.127210445097667,11.784350140348744
BMP29_12,47262600.0,30.052985906205258,14.403523215732312,30.052985906205258,14.403523215732312
BMP30_12,28357560.0,22.774076343246804,4.706025260630267,22.774076343246804,4.706025260630267
BMP31_12,47262600.0,11.691772594237984,11.568335866090305,11.691772594237984,11.568335866090305
BMP32_12,47262600.0,22.64678221734451,4.671308680838733,22.64678221734451,4.671308680838733
BMP33_12,9452520.0,3.895971732161123,3.853540356860359,3.895971732161123,3.853540356860359
BMP34_12,66167640.0,24.668058640762755,8.092820489182214,24.668058640762755,8.092820489182214
BMP26_13,4395600.0,4.053572595075145,5.439632901778259,4.053572595075145,5.439632901778259
BMP27_13,120879000.0,14.24242345340596,13.50493476191487,14.24242345340596,13.50493476191487
BMP28_13,59340600.0,39.49487311666119,15.978921648973635,39.49487311666119,15.978921648973635
BMP29_13,54945000.0,40.750173017071546,19.530374283884633,40.750173017071546,19.530374283884633
BMP30_13,32967000.0,30.880377550095037,6.3811078270860335,30.880377550095037,6.3811078270860335
BMP31_13,54945000.0,15.853391658932598,15.686018338877881,15.853391658932598,15.686018338877881
BMP32_13,54945000.0,30.707773813788613,6.334034080820645,30.707773813788613,6.334034080820645
BMP33_13,10989000.0,5.282720414226962,5.225185835458154,5.282720414226962,5.225185835458154
BMP34_13,76923000.0,33.448511929684585,10.973413296087294,33.448511929684585,10.973413296087294
BMP26_14,13484592.0,7.038190110501276,9.44479705151139,7.038190110501276,9.44479705151139
BMP27_14,370826280.0,24.729021510832222,23.448524987502314,24.729021510832222,23.448524987502314
BMP28_14,182041992.0,68.57467551534856,27.744091338814705,68.57467551534856,27.744091338814705
BMP29_14,168557400.0,70.75424406569734,33.91045402917647,70.75424406569734,33.91045402917647
BMP30_14,101134440.0,53.61738633858004,11.079473464272976,53.61738633858004,11.079473464272976
BMP31_14,168557400.0,27.526134483779828,27.235525343733322,27.526134483779828,27.235525343733322
BMP32_14,168557400.0,53.317695662907084,10.997739643634896,53.317695662907084,10.997739643634896
BMP33_14,33711480.0,9.172350982717791,9.072454090826806,9.172350982717791,9.072454090826806
BMP34_14,235980360.0,58.07642033116859,19.053061744298937,58.07642033116859,19.053061744298937
BMP26_15,35326896.0,7.664136741812369,10.284777047077243,7.664136741812369,10.284777047077243
BMP27_15,971489640.0,26.928315287683976,25.53393686110908,26.928315287683976,25.53393686110908
BMP28_15,476913096.0,74.67341488700026,30.211532575789402,74.67341488700026,30.211532575789402
