Reach,Ingoings,Outgoings,Split Ratio,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,N_0,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,BMPs
1,,24,,158.72991,148.73583000000002,139.20759021,169.46715999999998,186.493064,175.67351499999998,178.223355,182.43522000000002,212.39856,160.77906,103.8270619441,165.4225217,150.0541,150.43790663999997,90.6174218543,199.35473000000002,150.18312,123.45655000000001,176.02386,116.4219398,196.457122,137.79057684,133.07014,119.48526000000001,99.327051,127.09764000000001,141.451897,129.713774,140.61272200000002,153.64659999999998,186.63531999999998,135.510725,66.14708414200001,104.43845799999998,102.894872,94.758276575,52.59099516056,129.317824,95.78433600000001,79.91356499999999,121.38335000000001,71.00103200000001,150.40749100000002,82.8899108, BMP26_1 BMP27_1 BMP28_1 BMP29_1 BMP30_1 BMP31_1 BMP32_1 BMP33_1 BMP34_1
2,,16,,131.53286,102.6828301797,126.92649206,284.66156373,151.67438,188.58448199999998,172.29035399999998,157.37533100000002,222.68572,195.11225,127.02575592080001,142.3921887,165.34871662,188.6660737876,109.8120417072,182.61482,202.17351430000002,97.08473280560001,263.6736,141.2322893,281.7879831,95.76855909439999,95.53402,67.645426118,75.57618,191.07210222999998,123.980717,132.61364300000002,111.49743000000001,107.316801,164.33788000000004,183.57818,91.06617106433998,91.65197700000002,109.1645251,123.48981757000001,77.72032623370998,121.659442,122.95406,63.96865298461001,193.47354900000002,107.06038200000002,205.731468,57.054876894100005, BMP26_2 BMP27_2 BMP28_2 BMP29_2 BMP30_2 BMP31_2 BMP32_2 BMP33_2 BMP34_2
3,,33,,113.37889999999999,202.31292000000002,155.92871999999997,185.28592,232.37588,349.785739,177.9983968,235.990326,407.7277,161.64889000000002,122.22445505,134.68878,347.07518847,341.57320961280004,79.3724018422,213.69619999999998,278.39666000000005,107.47042501930001,149.19384699999998,115.029309,395.187892,89.15284839319999,87.18101,135.4939,104.427101,119.61114000000002,171.10201,230.31448,124.64834760000001,190.894372,311.21882000000005,116.67299,85.1918743,96.17084999999999,285.72253472999995,251.317213244,54.94019702599999,147.54637000000002,231.12196000000003,86.60300304823998,97.677356,76.816466,323.183388,62.75070190381, BMP26_3 BMP27_3 BMP28_3 BMP29_3 BMP30_3 BMP31_3 BMP32_3 BMP33_3 BMP34_3
4,,27,,31.75362,55.157769,104.42050040000001,123.36402000000001,61.761300000000006,116.7333637,158.5685005257,233.9187133,103.4310341,89.453301,146.1422655,148.209212,69.61922652,91.5026238804,57.275753936,162.6036,79.449631,34.6120396342,346.9562,112.96362540999999,87.19082217299999,25.607590704299998,27.233820000000005,37.907762999999996,83.918892,89.44648899999999,54.863269,89.519008,131.40384708007,180.67368599999998,86.09763900000002,102.48197900000001,141.69766300000003,106.122764,47.584462357,67.69967032772999,59.591064134,123.18106,53.257429,24.983271067710003,323.76526699999994,100.5304881,67.29211286900001,15.747402200600002, BMP26_4 BMP27_4 BMP28_4 BMP29_4 BMP30_4 BMP31_4 BMP32_4 BMP33_4 BMP34_4
5,,27,,39.83364,79.57206500000001,62.613855990000005,87.37928,56.658766,104.5279107,79.31099053450001,120.30653579999999,131.8204781,63.312889999999996,45.752626496,65.297479,131.967426862,103.8069439332,23.3628848321,100.79977000000001,93.078739,53.127180609,79.25863000000001,51.53035370999999,92.1168471,47.1705586795,31.440812,57.782123,42.859452000000005,68.738878,41.57429199999999,72.005034,58.10176008226,102.39592510000001,111.508284,54.63736499999999,35.622812190000005,49.139683,114.488552098,83.19619302400001,15.931767031919998,79.029497,73.960544,48.65591807122,62.272863,42.84533009999999,72.350953448,40.06265652197, BMP26_5 BMP27_5 BMP28_5 BMP29_5 BMP30_5 BMP31_5 BMP32_5 BMP33_5 BMP34_5
6,,38,,146.24965,151.73296009999999,91.30191,169.2048887,231.931333,252.25102,209.66423,169.424571,327.45853999999997,308.21191999999996,105.89943855599999,209.653894,215.105578,294.27541759999997,132.0100265,229.250533,234.28196,97.11419,581.56709,233.85766800000002,351.84046300000006,103.06518799999999,122.1947,106.926691,56.109249000000005,118.658913,195.991187,174.983729,135.81476999999998,111.69661599999999,254.66317999999995,338.71974,78.54155889,134.53294999999997,148.013984,222.346972,109.20913599999999,159.76284499999997,153.57677999999999,66.212337,476.8718,233.74067399999996,313.805657,67.286276, BMP26_6 BMP27_6 BMP28_6 BMP29_6 BMP30_6 BMP31_6 BMP32_6 BMP33_6 BMP34_6
7,,28,,63.13352,68.1814923,34.238102624999996,58.4480588,68.7793959,93.4432975,107.335598,82.1477081,125.43015500000001,75.18798100000001,45.300373637999996,92.522153,121.74728730000001,92.37914056,42.906977700000006,97.52383710000001,105.874765,51.807963,115.27307900000001,73.29819844000001,112.7335794,52.789428,46.852204,49.179264499999995,22.366687499999998,35.9900063,41.7296786,53.6269081,70.37567999999999,60.6822855,90.74395200000001,53.33496589999999,30.605942898000002,59.53345160000001,95.26469670000002,64.056953,28.169840999999998,63.243649899999994,68.5281516,38.956365999999996,80.612781,51.7245772,92.4013769,38.8607127, BMP26_7 BMP27_7 BMP28_7 BMP29_7 BMP30_7 BMP31_7 BMP32_7 BMP33_7 BMP34_7
8,,32,,61.77711,61.4772052,34.6973613058,86.38454700000001,72.21651171,77.8011664,91.13440200000001,62.391920000000006,98.836985,64.168273,46.9588097931,86.0077159,87.093906,73.049211674,47.423445,92.23960304999999,80.933458,56.191259,103.68053,67.506547701,93.950702,59.866551717,55.048443999999996,51.113805,23.8482697019,60.825813,52.6252597,55.953242,75.78042599999999,53.347829,87.93828199999999,52.190211000000005,37.0306131263,65.04708000000001,79.052432,60.73702218,35.49773,71.51870800000002,60.537994,43.42517800000001,84.23159999999999,58.61696632000001,92.9966,47.160961, BMP26_8 BMP27_8 BMP28_8 BMP29_8 BMP30_8 BMP31_8 BMP32_8 BMP33_8 BMP34_8
9,,41,,234.20785999999998,191.26475412,194.5296479,288.80709,327.02459999999996,531.947277,316.7891,624.5518199999999,596.20282,299.928512,195.13152000000002,377.79013,462.44452,364.659864,93.112368,307.834669,381.58477999999997,126.0198806486,444.2395,186.427606,496.33725,142.1333902087,268.56389,195.02491,165.70600100000001,302.65402,372.30745,517.232617,320.8158,675.53723,672.6716499999999,361.27036999999996,219.09757,384.25595999999996,549.07386,392.31194999999997,86.15379999999999,304.37009,410.92252,151.85642706508,551.8016700000001,199.13447499999998,580.2423500000001,162.09203239040002, BMP26_9 BMP27_9 BMP28_9 BMP29_9 BMP30_9 BMP31_9 BMP32_9 BMP33_9 BMP34_9
10,,20,,171.73476000000002,150.30691000000002,166.73553307,235.96535,190.31213,179.20566373,246.43442000000002,195.5086445,228.33586000000003,169.622144,118.003969556,170.14380200000002,162.319959,169.5344579865,100.47436399999998,177.45443000000003,154.14377100000002,126.706175,171.33409,122.5603536138,180.618255,120.50081676949999,128.64207,106.21988999999999,107.6282729,172.35838,144.841934,123.67692100000001,198.65772,173.55871199999999,207.00672,133.533726,60.3943821974,93.41213,99.076363,106.20561900000001,45.848639999999996,102.11893699999999,84.01115999999999,65.710875,95.38266499999999,58.972119,112.10671400000001,54.5907132147, BMP26_10 BMP27_10 BMP28_10 BMP29_10 BMP30_10 BMP31_10 BMP32_10 BMP33_10 BMP34_10
